CountryName	avg_latitude	avg_longitude	avg_minrtt	median_minrtt	avg_meanthroughputmbps	avg_lossraate	MostRecentTestTime	LeastRecentTestTime	TestSpanDays	count_measurements
Kenya	-1.2841	36.8155	407.086	331.01599999999996	9.6783488744855362	0.011254977812037412	2023-04-27 08:39:21.917867 UTC	2023-04-17 09:58:15.225784 UTC	9	6
Netherlands	52.375122803280348	4.8958371605069946	45.86104910001054	39.697	42.137420976029027	0.021415315754248314	2023-04-30 18:08:35.966083 UTC	2022-05-02 11:47:32.400535 UTC	363	9389
Dominican Republic	18.462905417801359	-69.89236641823112	70.202858535187332	65.511	30.167494840855788	0.030418904732687917	2023-04-30 23:37:38.238404 UTC	2022-08-14 01:50:30.778199 UTC	259	6977
Canada	45.928754291543484	-90.917247262998586	402.15488367494862	47.674	34.535323824473089	0.022674359204878512	2023-04-30 23:59:35.049282 UTC	2022-05-02 00:00:13.080071 UTC	363	1349013
Nigeria	6.4474	3.3903	670.53135905389684	150.24	32.909677999238248	0.017316169770193096	2023-04-30 23:43:56.919349 UTC	2022-11-19 17:40:19.674106 UTC	162	20632
Austria	48.203844327931307	16.366797902764439	350.94396037042128	45.86	43.9135914364606	0.01864267874977504	2023-04-30 20:07:02.416636 UTC	2022-05-02 02:44:36.021048 UTC	363	14686
Czechia	50.084942262074208	14.45137978935378	469.71427943827757	44.775	40.736013024585759	0.021635146544331092	2023-04-30 22:52:16.074189 UTC	2022-05-02 02:00:05.547800 UTC	363	10539
Norway	59.865765574912821	10.797590313588854	69.040590940766478	60.207	39.228692009365183	0.018751463977617368	2023-04-30 21:10:12.608472 UTC	2022-09-02 12:00:15.848524 UTC	240	1435
Peru	-12.043531524789536	-77.02971258185201	74.5934921655755	35.373	31.330975468020583	0.026105496851665886	2023-04-30 23:14:18.963190 UTC	2022-12-22 15:28:44.049524 UTC	129	8552
Belgium	50.852432865309609	4.3463503590212564	57.796038234621257	44.424499999999995	50.756026887950561	0.019027149612442396	2023-04-30 22:46:51.666748 UTC	2022-05-02 07:18:34.202897 UTC	363	21865
Guadeloupe	15.999578353658523	-61.721524695121857	136.51495325203226	135.067	30.40354112862466	0.022573420837316518	2023-04-30 00:17:29.034743 UTC	2022-10-04 21:59:17.794937 UTC	207	984
France	48.8323	2.4075	449.455278366821	47.937	45.964461345466965	0.019282434384637441	2023-04-30 23:52:00.108941 UTC	2022-05-02 07:04:15.241247 UTC	363	88466
United Kingdom	51.514708707576176	-0.093612787110043866	303.38880982917271	29.802	46.27281667051831	0.016132571987057025	2023-04-30 23:58:39.392247 UTC	2022-05-02 01:32:36.889303 UTC	363	504641
