,names,lat,long,altitudes_m,minelevations_deg
0,2 - KB9JHU,39.236,-86.305,280,5
1,6 - Apomahon,38.048,23.739,119,20
2,9 - Talos,35.501,24.011,82,15
3,12 - W2BFJ,42.744,-71.538,67,4
4,21 - Avia,36.961,22.145,45,45
5,26 - SV1IYO/A,38.395,21.828,145,15
6,27 - NB3T - VHF,37.194,-80.489,634,0
7,34 - Bitjam satellite tracking station,52.997,-2.195,100,28
8,37 - DL4PD,50.75,6.216,275,1
9,39 - CGBSAT-VHF,52.834,6.379,10,0
10,40 - CGBSAT-UHF,52.834,6.379,10,20
11,47 - DB0RV,47.807,9.633,450,0
12,49 - OZ7SAT,55.633,12.6,10,10
13,70 - OZ6BL-VHF,55.839,12.396,37,15
14,77 - N5CNB-VHF,29.855,-96.535,100,5
15,91 - M0EYT / 2E0NOG,50.77,-2.02,60,20
16,98 - Grove-UHF-01,42.314,-71.448,62,15
17,102 - PA3RVG VHF,51.472,5.558,31,5
18,120 - F6HDW,42.817,1.584,612,10
19,129 - Chabot Space and Science Center,37.819,-122.181,300,10
20,142 - CWVRPi3vhf,38.353,-81.687,270,15
21,146 - RIYADH2,24.771,46.708,612,30
22,147 - F6KKR,48.635,1.829,200,0
23,150 - OM1LD -Needronix,48.033,17.387,124,1
24,152 - SOSA-OBSPE,48.63,18.341,180,20
25,158 - VK6SAT - UHF,-31.763,115.759,40,30
26,167 - G7ODQ-pi,50.741,-1.825,50,0
27,180 - KJ7SU - Prime,45.462,-122.727,145,10
28,183 - SPUTNIX-R2ANF-VHF/UHF-stationary,55.693,37.347,203,0
29,207 - AAUSAT GND,57.014,9.986,20,0
30,216 - CWVRPi3uhf,38.353,-81.687,270,15
31,220 - Kedros Observatory,40.101,21.388,605,10
32,223 - W2MMD GCARC Clubhouse,39.716,-75.21,10,0
33,255 - EA5BZ - Elche,38.277,-0.671,120,0
34,256 - KO2F-Test-1,38.556,-78.063,186,10
35,310 - CSPD-VA3TZA,43.229,-79.759,92,10
36,315 - KK4YEL,28.419,-80.705,6,0
37,329 - CU2ZG,37.742,-25.557,80,0
38,331 - VK5KJP-UHF,-34.87,138.502,10,25
39,342 - EA5WA Pobla Llarga,39.104,-0.458,50,0
40,355 - Black Mensa Ground Station,48.267,11.671,490,5
41,365 - DS-1 (VHF),52.216,4.417,10,12
42,"375 - AB3DC - Detroit, MI",42.408,-83.441,230,10
43,385 - 52HancockSt,42.45,-71.23,70,30
44,"399 - SV2SQN Patras, GR Station",38.222,21.743,20,5
45,430 - Leonidio,37.158,22.893,20,20
46,431 - PE0SAT-11,51.721,5.03,5,15
47,432 - kc1fha,42.845,-71.501,73,25
48,438 - Timisoara - VHF QHA,45.747,21.213,80,10
49,452 - OZ1SKY,56.278,10.266,100,0
50,526 - W2GRK - UHF,40.641,-74.339,29,20
51,544 - HB9FMC Pascal Droux,47.19,7.144,680,15
52,551 - lu1esy,-34.651,-58.645,30,10
53,568 - VK2BYF-VHF,-34.85,150.6,35,10
54,577 - E12-Station,13.728,100.772,25,10
55,618 - KS1G,38.979,-77.375,100,5
56,620 - AAUSAT AUX,57.014,9.986,10,15
57,644 - CalgaryVHF,51.106,-114.145,1000,24
58,"663 - KB4NKO - Jonesboro, VA, US UHF",37.787,-78.983,250,10
59,673 - CT7AFR,41.702,-8.826,46,5
60,680 - M0RSX,52.483,1.714,7,10
61,685 - CR7BDI,38.95,-9.409,87,20
62,724 - VK2BYF-UHF,-34.85,150.6,35,10
63,733 - VAUBAN-IEPER  ON7XX,50.849,2.899,30,10
64,752 - NZ-HMT-VHF,-37.807,175.326,41,30
65,763 - Harwell,51.6,-1.291,71,10
66,766 - Dunchurch,52.342,-1.29,128,15
67,771 - PF_DE_PL_TA1,48.886,8.693,300,3
68,793 - F6KRK RX WX,48.778,2.022,166,10
69,804 - S59MZ-UHF,46.258,14.387,460,0
70,812 - PF_DE_PL_ UHF_CROSS_DIPOLE,48.886,8.693,300,15
71,834 - Valpo WIRED Lab 1,41.462,-87.038,240,0
72,837 - Gray Eagle,39.963,-85.93,850,11
73,858 - SM0TGU - VHF UHF,59.453,17.89,5,5
74,897 - DS-2 (UHF),52.216,4.417,10,20
75,901 - VE2WI - UHF,45.42,-73.465,15,16
76,908 - CA-USA Fixed VHF,33.497,-117.087,400,10
77,912 - HS3LIQ,14.975,102.107,20,10
78,939 - IU3IOK,45.605,12.243,15,15
79,964 - PA2DX_uhf,53.179,5.926,4,18
80,980 - PF_DE_Yagi_UHF,48.886,8.693,300,30
81,981 - TBC,-34.48,-58.78,25,10
82,984 - KJ6DZB Ppi4 Ketchup,37.878,-122.298,15,5
83,987 - LA4TSA,59.957,10.762,160,35
84,1000 - Avia S,36.961,22.145,20,30
85,1031 - Romeo-Golf-VHF,51.41,-0.846,50,30
86,1032 - Bad Homburg,50.217,8.641,200,10
87,1042 - VK3XN - VHF,-37.817,145.275,147,25
88,1052 - KF5IDY RTL-SDR Egg 2m,32.95,-96.84,196,20
89,1089 - ZR6AIC Ground Station,-26.285,28.071,1700,10
90,1118 - sp8ncg-rtl1,51.25,22.5,200,30
91,1133 - cruftpi3,40.569,-105.226,1865,20
92,1137 - MANU F4HSE,48.047,7.418,190,20
93,1145 - VK4SMC,-16.453,145.404,6,10
94,1152 - cruftpi1,40.569,-105.226,1865,20
95,1155 - ArgusNavis,28.055,-82.481,16,5
