CountryName	MeasurementCount	TestSpanDays	AvgLongitude	AvgLatitude	Rank
Saint Barthélemy	1613	208	-62.85	17.8833	2
Saint Martin	903	189	-63.087311849390879	18.072692801771879	3
Tonga	18	14	-175.2032	-21.1474	3
Dominican Republic	6891	210	-69.892287258743579	18.462932332027261	3
U.S. Virgin Islands	1845	209	-64.9319	18.3382	3
Haiti	145	33	-72.3362	18.5413	4
Guernsey	39	72	-2.5341076923076922	49.457969230769223	4
Martinique	3969	201	-61.072581607457856	14.607077299067758	5
Solomon Islands	2	0	159.9494	-9.4277	5
Mayotte	73	94	45.1667	-12.8333	5
Jamaica	834	155	-76.8029304556355	17.996125179856122	5
Nigeria	49815	162	3.3903	6.4474	6
Guadeloupe	1007	207	-61.721558490565982	15.999560377358504	7
French Guiana	399	74	-52.350587218045114	4.9137052631578966	7
Australia	582868	210	151.02900803492369	-33.813976023044617	8
Canada	787535	210	-91.7176528092089	46.256832168601818	8
Mexico	310919	210	-99.1332	19.4326	9
Barbados	6	102	-59.616	13.0961	9
Rwanda	50	79	30.063647999999993	-1.9526760000000003	9
Chile	48968	210	-70.661618781654042	-33.451551707237137	9
New Zealand	101402	210	174.76797218398127	-36.850745612512682	10
Curaçao	9	0	-68.9177	12.0975	10
Réunion	236	86	55.465444067796632	-20.868286016949138	11
Ireland	53768	210	-6.2591	53.3379	11
Belgium	16765	210	4.347	50.8534	14
Puerto Rico	926	207	-66.0434	18.3861	16
France	72229	210	2.4075	48.8323	16
Greece	388	208	23.7353	37.9842	16
Portugal	15300	210	-9.1012135947711847	38.765827352940846	16
Italy	92633	210	12.5126	41.8904	18
Slovenia	32	178	14.51275625	46.0516125	20
Malta	4	50	14.5161	35.8956	20
United States	3541431	210	-98.705260834308021	38.732990564859747	20
Egypt	34	6	31.2268	30.0588	22
Colombia	33453	209	-74.081461250112341	4.6152034466265972	22
United Kingdom	337444	210	-0.0938564606275415	51.514036168668412	23
Spain	35370	210	-3.6934	40.4163	24
Mozambique	48	157	32.601	-25.9707	24
Estonia	64	203	24.7331625	59.433956249999994	25
El Salvador	37	11	-89.1803	13.6806	26
Brazil	232417	210	-46.6359	-23.5335	26
Poland	1290	209	21.0067	52.2296	28
Slovakia	135	145	17.068199999999994	48.159240000000004	28
Latvia	62	88	24.0978	56.9496	28
Austria	13787	210	16.3662	48.2049	28
Croatia	74	197	15.9793	45.8293	29
Romania	118	186	26.054240677966106	44.40897457627117	31
Germany	128581	210	13.4069	52.5196	32
Czechia	8925	210	14.431470117647047	50.086664235294108	33
Lithuania	86	206	25.287782558139529	54.689748837209315	34
North Macedonia	3	29	21.4313	41.9985	35
Peru	8809	129	-77.02971485980251	-12.043532024066323	38
Philippines	32932	144	120.9896	14.6019	40
Norway	2473	209	10.808639304488475	59.881820865345674	41
Moldova	7	134	28.8574	47.0042	41
Netherlands	7384	210	4.8962391115926263	52.375310671722694	58
Hungary	27	187	19.0947	47.5636	59
Ukraine	718	209	30.5303	50.458	63
Denmark	72	203	12.5892	55.6802	68
Japan	21548	208	139.6899	35.6893	76
Ecuador	49	10	-78.5211	-0.2309	77
Bulgaria	67	203	23.325	42.6951	82
Sweden	745	206	18.0717	59.3287	88
Kenya	12	13	36.8155	-1.2841	131
Switzerland	18	181	8.5671	47.3682	175
Indonesia	286	85	106.8446	-6.2114	1176
