CountryName,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Canada,45.509798913005234,-86.988730588550709,372.73947117201141,17.0,152.39217207034665,0.025822519859272038,2023-04-30 23:59:42.392528 UTC,2022-05-01 23:32:39.798390 UTC,364,14680594
Netherlands,52.222072274163708,5.23507041447639,181.06680748812786,8.293,96.9959254920662,0.032153736109202219,2023-04-30 23:59:06.628993 UTC,2022-05-01 22:14:07.565842 UTC,364,2371781
Dominican Republic,18.605992543944662,-69.942070613022636,670.92774179727792,53.155,25.438163263045283,0.086202718239275028,2023-04-30 23:59:20.896848 UTC,2022-05-02 00:18:54.741368 UTC,363,56719
Italy,43.938660551213175,11.104629979663272,344.8891841471501,23.696,56.687944551363792,0.020906433821510067,2023-04-30 23:59:42.798697 UTC,2022-05-02 00:00:04.342377 UTC,363,16266627
New Zealand,-39.133761987124785,174.36915581812042,979.60440727096216,8.837,124.81612570752465,0.019173538844764519,2023-04-30 23:59:22.841331 UTC,2022-05-01 23:54:12.152128 UTC,364,1400144
Spain,40.067576025096848,-2.7066410064510791,503.06859349839328,16.871,118.93894102401146,0.022954685526781947,2023-04-30 23:59:35.687082 UTC,2022-05-01 23:39:54.356174 UTC,364,10510202
Saint Barthélemy,17.883339647577078,-62.849910719530051,143.89111453744471,132.6205,38.129333708952238,0.073728128818865452,2023-03-26 02:48:10.049529 UTC,2022-05-03 01:16:38.827560 UTC,327,1362
United States,36.651905849767942,-95.069239401136514,182.66971836611191,38.576,62.1313590502957,0.021554165173749234,2023-04-30 23:59:54.406472 UTC,2022-05-01 23:31:01.003116 UTC,364,27475227
Austria,48.096959769039493,16.069798740363009,604.92606145019465,29.0,49.61709565301858,0.019993663671605828,2023-04-30 23:58:10.790385 UTC,2022-05-02 00:02:57.273066 UTC,363,3079144
Nigeria,7.23354976252054,5.0343624886339491,1570.3298829466544,22.872,27.266068611329285,0.056540855792764619,2023-04-30 23:59:32.069794 UTC,2022-05-01 23:59:49.489395 UTC,363,817123
Brazil,-21.842640051124167,-46.323130923474693,1322.3249727796056,31.974,77.363531194952131,0.038142661615995055,2023-04-30 23:59:46.861909 UTC,2022-05-01 23:44:38.939126 UTC,364,20986764
Mexico,20.436015134911937,-99.825842498749978,755.97768577453962,84.553,15.593255180656815,0.095889969504290351,2023-04-30 23:59:40.828185 UTC,2022-05-01 23:59:52.354747 UTC,363,1086847
United Kingdom,52.165895851369356,-1.0727130610591344,249.89157793823557,11.84,114.35135231004702,0.018393604881095257,2023-04-30 23:59:40.137121 UTC,2022-05-01 23:52:49.432693 UTC,364,19270734
France,47.31888127541351,2.3115891428792139,301.53079417305509,12.98,162.70274432609645,0.022035736797389429,2023-04-30 23:59:33.818395 UTC,2022-05-02 00:00:19.890751 UTC,363,8286126
Peru,-11.857245746157377,-76.3554613318922,1387.74592054355,35.551,32.651664206832514,0.058105293156350747,2023-04-30 23:59:39.407962 UTC,2022-05-01 23:13:56.641953 UTC,364,4159914
Norway,60.567354943111,9.9137651066348962,443.32123786238793,17.457,78.353903003102928,0.028371379047113524,2023-04-30 23:59:03.272334 UTC,2022-05-02 00:02:02.913328 UTC,363,570603
Colombia,5.78828861257796,-74.910758893665019,790.8120296963956,90.879,58.013503778768715,0.045190228886852354,2023-04-30 23:59:33.093422 UTC,2022-05-01 23:47:28.984177 UTC,364,2895907
Puerto Rico,18.309089600636035,-66.256145536519611,157.95483371695659,42.082499999999996,74.692590949438653,0.041940725978618643,2023-04-30 23:56:59.414693 UTC,2022-05-02 00:06:09.547375 UTC,363,84284
Germany,50.934024272712279,9.3533811238960034,440.49223892274512,17.513,77.287645323177614,0.02443640883203077,2023-04-30 23:59:43.425233 UTC,2022-05-01 23:57:52.473252 UTC,364,34249778
Ireland,53.222901631738353,-6.8773295601308995,692.87221969118173,12.242,67.747090794704533,0.016618365397900212,2023-04-30 23:59:34.466420 UTC,2022-05-01 23:56:10.591563 UTC,364,3310233
Portugal,39.696609169515895,-8.8647953245445379,518.69831337361654,19.568,104.66583991069989,0.024412751943367356,2023-04-30 23:58:41.766601 UTC,2022-05-01 23:37:26.053000 UTC,364,3501252
Martinique,14.625465782066797,-61.049760233212645,1876.9679250100482,130.6065,14.203132225854752,0.044078143485343141,2023-04-30 22:10:44.147203 UTC,2022-05-10 13:54:50.791255 UTC,355,4974
Belgium,50.876825165534491,4.3325723037338415,615.66337944842826,14.268,86.725461134392873,0.026226017327419311,2023-04-30 23:59:02.224659 UTC,2022-05-01 23:47:56.991849 UTC,364,2867080
Philippines,12.634572847938218,122.21844186151048,1113.5155290653122,34.843,32.321944894760477,0.051634371479102638,2023-04-30 23:59:41.525450 UTC,2022-05-01 23:46:48.294515 UTC,364,12292144
Chile,-33.928959324055143,-71.0683625353036,702.200759534798,28.419,79.201232672554724,0.039843723089094736,2023-04-30 23:59:43.767710 UTC,2022-05-01 23:56:29.161458 UTC,364,1510630
Japan,35.718368959715789,138.67412064410689,192.67655078474,26.697,105.49404946953373,0.030892900187350886,2023-04-30 23:59:52.233217 UTC,2022-05-01 23:43:36.360144 UTC,364,16566886
Australia,-33.609808977494218,146.10000341311627,673.87306186750777,28.131,44.489262494521363,0.028856232525385411,2023-04-30 23:59:55.511838 UTC,2022-05-01 22:36:15.486759 UTC,364,12169021
