CountryName,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Belgium,50.875906735249593,4.3313044319752105,1457.5443509899128,16.366,18.93666665411989,0.0,2023-04-30 23:56:35.805161 UTC,2022-05-01 23:51:02.742629 UTC,364,1984265
Brazil,-21.799501920735505,-46.296728656919065,1672.7904282380057,35.577,30.793572456742137,0.0,2023-04-30 23:59:44.566605 UTC,2022-05-01 23:30:48.643038 UTC,364,16687921
Canada,45.515111310127516,-86.9907369108097,975.7366854541948,18.907,66.641515980331519,0.0,2023-04-30 23:59:51.586191 UTC,2022-05-01 23:34:52.446771 UTC,364,10388665
Netherlands,52.245574706719019,5.2497561348773685,476.60565753998338,8.702,66.001837437572149,0.0,2023-04-30 23:59:16.753206 UTC,2022-05-02 00:00:18.019012 UTC,363,1881662
Dominican Republic,18.619511317494013,-69.9609955065981,343.76770587760649,55.458,6.5148952289594924,0.0,2023-04-30 23:59:33.277624 UTC,2022-05-01 23:55:14.733181 UTC,364,61913
Germany,50.914524722185618,9.3628375146331262,1235.9284719927391,19.059,16.5840997655714,0.0,2023-04-30 23:59:31.333125 UTC,2022-05-01 23:30:39.095838 UTC,364,22423739
Ireland,53.220040778092986,-6.9062347839293681,1003.3422990768921,12.637,21.57166595502925,0.0,2023-04-30 23:59:48.427305 UTC,2022-05-01 23:55:42.866018 UTC,364,2337429
United Kingdom,52.183974496014834,-1.0862290075452585,805.46107683038963,14.975,21.7263967846684,0.0,2023-04-30 23:59:48.611104 UTC,2022-05-01 23:59:58.840448 UTC,363,13386578
France,47.305082659893849,2.3180104767370842,1184.5764949671657,14.079,84.949427315539765,0.0,2023-04-30 23:59:10.916626 UTC,2022-05-01 23:59:58.800394 UTC,363,5777957
Peru,-11.848389890814587,-76.358186753533843,2389.3407037471,39.56,16.513558589002614,0.0,2023-04-30 23:59:21.016832 UTC,2022-05-01 23:44:13.945196 UTC,364,3403538
Norway,60.690870404288589,9.9287938004460727,727.44798365452459,18.005,38.659121350639261,0.0,2023-04-30 23:59:14.369664 UTC,2022-05-02 00:03:04.960337 UTC,363,443487
Australia,-33.59715475223787,145.95107499528368,1681.9398306279759,29.843,9.9793758087263047,0.0,2023-04-30 23:59:47.837389 UTC,2022-05-01 22:48:34.781061 UTC,364,8597819
Saint Barthélemy,17.883329189189187,-62.849934270270289,148.35186810810779,133.308,23.775057315841636,0.0,2023-03-26 02:48:20.670685 UTC,2022-05-03 01:16:50.207757 UTC,327,925
United States,36.6719247546297,-95.018509746570885,359.34139914318848,41.427,11.617804924893941,0.0,2023-04-30 23:59:47.531340 UTC,2022-05-01 23:17:34.297661 UTC,364,19160357
Austria,48.103433550711841,16.084884745100808,2232.5357466275955,29.53,11.448798564016098,0.0,2023-04-30 23:58:22.681728 UTC,2022-05-02 00:03:08.867278 UTC,363,2109993
Nigeria,7.2026134534427095,4.9982896800608723,2088.2757432662729,23.459,7.9238407613594433,0.0,2023-04-30 23:58:39.905996 UTC,2022-05-02 00:00:01.966000 UTC,363,631370
Japan,35.723616708447992,138.65032072613263,372.50283073110688,27.37,64.082891227083238,0.0,2023-04-30 23:59:47.132915 UTC,2022-05-01 15:24:14.378502 UTC,364,12277306
Spain,40.07671447623121,-2.6684370497748446,1088.4752096247053,17.764,89.355888051023271,0.0,2023-04-30 23:58:59.069735 UTC,2022-05-01 23:17:10.236966 UTC,364,7521809
Colombia,5.7754863091130026,-74.908090966009482,1558.0662051700792,94.023,16.863348079573747,0.0,2023-04-30 23:59:44.042758 UTC,2022-05-01 23:49:30.770805 UTC,364,2463366
Puerto Rico,18.308731870764085,-66.2559725528718,111.15900358058138,46.9645,17.902785617876173,0.0,2023-04-30 23:57:09.580177 UTC,2022-05-02 00:11:11.181733 UTC,363,83506
Italy,43.948029688243359,11.092878953341332,1396.1250620919955,24.669,22.621003547736706,0.0,2023-04-30 23:59:30.911051 UTC,2022-05-01 23:50:43.096739 UTC,364,11429686
New Zealand,-39.182207777078609,174.3586023905433,1793.2807791988757,10.332,58.442329971308091,0.0,2023-04-30 23:59:34.968257 UTC,2022-05-01 23:47:11.280068 UTC,364,981114
Philippines,12.583648669849127,122.24989943558572,1941.2856170213875,36.629,21.160883871149036,0.0,2023-04-30 23:59:46.141329 UTC,2022-05-01 23:46:03.307081 UTC,364,9041531
Chile,-33.908439006550992,-71.062109068419943,1231.7457949819454,28.858,59.85888415313741,0.0,2023-04-30 23:59:43.828877 UTC,2022-05-01 23:45:20.531470 UTC,364,1168473
Portugal,39.693277231125016,-8.8657238759923178,1253.5012159101927,20.0,37.437975101300189,0.0,2023-04-30 23:58:51.860280 UTC,2022-05-01 19:02:17.959746 UTC,364,2505903
Martinique,14.62514933487563,-61.050344100636174,2632.7262836900049,131.9435,4.5190347854056769,0.0,2023-04-30 22:10:58.509910 UTC,2022-05-10 13:55:09.591913 UTC,355,3458
Mexico,20.431245195453673,-99.7423509476584,1592.6257396276389,85.38,6.75868120640095,0.0,2023-04-30 23:58:18.699853 UTC,2022-05-01 23:46:13.012151 UTC,364,781838
