Site,CountryCode,City,Latitude,Longitude,ASNumber
,,,,,
akl01,NZ,Auckland,-36.85,174.783,38022
ams03,NL,Amsterdam,52.3086,4.7639,1299
ams04,NL,Amsterdam,52.3086,4.7639,3257
ams05,NL,Amsterdam,52.3086,4.7639,1273
ams08,NL,Amsterdam,52.3086,4.7639,3356
ams09,NL,Amsterdam,52.3086,4.7639,6762
ams10,NL,Amsterdam,52.3086,4.7639,396982
arn02,SE,Stockholm,59.6519,17.9186,1273
arn03,SE,Stockholm,59.6519,17.9186,3356
arn04,SE,Stockholm,59.6519,17.9186,1299
arn05,SE,Stockholm,59.6519,17.9186,3257
arn06,SE,Stockholm,59.6519,17.9186,6453
ath03,GR,Athens,37.9364,23.9444,203348
atl02,US,Atlanta,33.6367,-84.4281,174
atl03,US,Atlanta,33.6367,-84.4281,6453
atl04,US,Atlanta,33.6367,-84.4281,3257
atl07,US,Atlanta,33.6367,-84.4281,1299
atl08,US,Atlanta,33.6367,-84.4281,3356
bcn01,ES,Barcelona,41.2974,2.0811,49638
beg01,RS,Belgrade,44.8216,20.2921,13004
bog02,CO,Bogota,4.69715,-74.14329,12956
bog03,CO,Bogota,4.69715,-74.14329,262589
bog04,CO,Bogota,4.69715,-74.14329,3549
bog05,CO,Bogota,4.69715,-74.14329,6762
bom01,IN,Mumbai,19.0886,72.8681,9498
bom01,IN,Mumbai,20.600792,78.96156,9498
bom02,IN,Mumbai,19.0886,72.8681,4755
bom02,IN,Mumbai,20.600792,78.96156,4755
bom03,IN,Mumbai,20.600792,78.96156,396982
bom03,IN,Mumbai,19.0886,72.8681,396982
bru01,BE,Brussels,50.4974,3.3528,1273
bru02,BE,Brussels,50.4974,3.3528,3356
bru03,BE,Brussels,50.4974,3.3528,1299
bru04,BE,Brussels,50.4974,3.3528,3257
bru05,BE,Brussels,50.4974,3.3528,6453
bru06,BE,Brussels,50.4974,3.3528,15169
cgk01,ID,Jakarta,-6.1256,106.6558,139190
chs01,US,Charleston,32.8986,-80.0406,396982
cmh01,US,Columbus,39.9981,-82.8919,396982
cpt01,ZA,Cape,-33.9724,18.6018,2018
cpt01,ZA,Cape Town,-33.9724,18.6018,2018
del01,IN,New Delhi,20.600792,78.96156,4755
del01,IN,New Delhi,28.5562,77.1,4755
del01,IN,Mumbai,19.0748,72.8856,4755
del02,IN,New Delhi,28.5562,77.1,9498
del03,IN,New Delhi,28.5562,77.1,396982
del03,IN,New Delhi,20.600792,78.96156,396982
den02,US,Denver,39.8561,-104.6737,3356
den04,US,Denver,39.8561,-104.6737,6461
den05,US,Denver,39.8561,-104.6737,1299
den06,US,Denver,39.8561,-104.6737,3257
dfw02,US,Dallas,32.8969,-97.0381,6453
dfw03,US,Dallas,32.8969,-97.0381,3356
dfw05,US,Dallas,32.8969,-97.0381,6461
dfw07,US,Dallas,32.8969,-97.0381,1299
dfw08,US,Dallas,32.8969,-97.0381,174
dfw09,US,Dallas,32.8969,-97.0381,396982
dub01,IE,Dublin,53.4333,-6.25,1213
eze01,AR,Buenos Aires,-34.8222,-58.5358,3549
eze02,AR,Buenos Aires,-34.8222,-58.5358,6762
eze03,AR,Buenos Aires,-34.8222,-58.5358,12956
eze04,AR,Buenos Aires,-34.8222,-58.5358,262589
fln01,BR,Florianopolis,-27.6685,-48.546,11242
fra01,DE,Frankfurt,50.0379,8.5622,1299
fra02,DE,Frankfurt,50.0379,8.5622,3257
fra03,DE,Frankfurt,50.0379,8.5622,1273
fra04,DE,Frankfurt,50.0379,8.5622,3356
fra05,DE,Frankfurt,50.0379,8.5622,6453
fra06,DE,Frankfurt,50.0379,8.5622,6762
fra07,DE,Frankfurt,50.0379,8.5622,396982
gig01,BR,Rio de Janeiro,-22.8052,-43.2588,12956
gig02,BR,Rio de Janeiro,-22.8052,-43.2588,6762
gig03,BR,Rio de Janeiro,-22.8052,-43.2588,262589
gig04,BR,Rio de Janeiro,-22.8052,-43.2588,3549
gru01,BR,Sao Paulo,-23.4305,-46.473,3549
gru02,BR,Sao Paulo,-23.4305,-46.473,262589
gru03,BR,Sao Paulo,-23.4305,-46.473,6762
gru04,BR,Sao Paulo,-23.4305,-46.473,12956
gru05,BR,Sao Paulo,-23.4305,-46.473,396982
ham02,DE,Hamburg,53.6333,9.9833,1299
hel01,FI,Helsinki,60.3172,24.9633,396982
hkg01,HK,Hong Kong,22.3089,113.9144,10103
hkg02,HK,Hong Kong,22.3089,113.9144,5580
hkg03,HK,Hong Kong,22.3089,113.9144,174
hkg04,HK,Hong Kong,22.3089,113.9144,396982
hnd01,JP,Tokyo,35.5522,139.78,2500
hnd02,JP,Tokyo,35.5522,139.78,2518
hnd03,JP,Tokyo,35.5522,139.78,2516
hnd04,JP,Tokyo,35.5522,139.78,5580
hnd05,JP,Tokyo,35.5522,139.78,2914
hnd06,JP,Tokyo,35.5522,139.78,396982
hnl01,US,Honolulu,21.3254,-157.924,3257
iad02,US,Washington,38.9444,-77.4558,174
iad03,US,Washington,38.9444,-77.4558,6453
