CountryName,avg_latitude,avg_longitude,avg_minrtt,median_minrtt,avg_meanthroughputmbps,avg_lossraate,MostRecentTestTime,LeastRecentTestTime,TestSpanDays,count_measurements
Brazil,-23.5335,-46.6359,929.17675465942648,46.005,7.2531195728353106,0.0,2023-04-30 23:59:00.104042 UTC,2021-12-12 22:37:08.453848 UTC,504,111763
Sweden,59.3287,18.0717,87.528338666666713,62.872,6.7950061582892065,0.0,2023-04-30 18:35:09.443552 UTC,2022-04-10 16:59:26.762252 UTC,385,375
Mexico,19.4326,-99.1332,1482.7615567051562,84.682,4.2172472441646205,0.0,2023-04-30 23:59:34.283091 UTC,2022-02-24 05:21:26.626759 UTC,430,167595
Norway,59.865683586626105,10.79753389057751,70.308171732522766,61.219,7.26488473465886,0.0,2023-04-30 19:35:44.307053 UTC,2022-09-02 12:00:26.564360 UTC,240,658
Peru,-12.043533786848091,-77.029722902494285,75.954649281935232,36.38,8.3156629943714613,0.0,2023-04-30 23:14:18.963190 UTC,2022-12-22 15:28:56.355826 UTC,129,3969
Greece,37.9842,23.7353,94.1800731707317,92.243,6.1608661544731946,0.0,2023-04-29 19:36:16.727188 UTC,2022-05-30 17:01:50.593773 UTC,334,82
Slovenia,46.051525000000005,14.512212499999999,66.685375000000008,62.6805,15.719303561527948,0.0,2022-11-05 09:31:52.832821 UTC,2022-09-04 10:25:30.101508 UTC,61,8
Spain,40.4163,-3.6934,266.82146354699819,30.9895,11.002079568095745,0.0,2023-04-30 23:58:03.523358 UTC,2022-04-02 05:54:16.845475 UTC,393,19532
Nigeria,6.4474,3.3903,493.30690288031786,27.956,7.20074734412994,0.0,2023-04-30 23:43:56.919349 UTC,2022-11-19 17:40:30.508795 UTC,162,9617
Czechia,50.084727523746352,14.452884956925141,1012.0927382372432,46.09,8.4993928146487843,0.0,2023-04-30 22:52:16.074189 UTC,2022-03-17 03:00:13.881104 UTC,409,4527
Austria,48.203046351430238,16.367249854057228,685.54744264448584,46.349000000000004,8.3632676821033964,0.0,2023-04-30 19:58:10.338285 UTC,2022-03-17 06:41:41.795266 UTC,409,6852
Germany,52.5196,13.4069,652.53278451843732,40.236,8.1017555531108609,0.0,2023-04-30 23:57:20.396023 UTC,2022-02-09 07:28:56.117443 UTC,445,70781
United States,38.87124559373094,-98.979715148487969,461.35562076377511,34.881,4.6802155082841876,0.0,2023-04-30 23:59:39.783426 UTC,2021-06-30 02:29:20.630965 UTC,669,3260332
Indonesia,-6.2114,106.8446,95.568000000000012,74.18,4.50350542457261,0.0,2023-04-26 01:15:59.444820 UTC,2023-02-17 02:23:30.937642 UTC,67,14
Bulgaria,42.6951,23.325,91.815390243902442,85.408,5.7350734218390569,0.0,2023-04-29 06:59:13.656168 UTC,2022-09-18 06:50:48.941922 UTC,223,41
Poland,52.2296,21.0067,64.8581678832117,58.724,4.4844056507110865,0.0,2023-04-28 19:19:07.230618 UTC,2022-09-15 11:42:03.178057 UTC,225,137
Japan,35.6893,139.6899,92.770368514750785,39.8965,8.3406192386205831,0.0,2023-04-30 23:56:18.450402 UTC,2022-10-04 02:02:54.064328 UTC,208,7864
Belgium,50.8515029423539,4.3458162630103843,57.993448859087266,45.245999999999995,5.9772386276026355,0.0,2023-04-30 21:32:20.854383 UTC,2022-03-17 05:13:11.655706 UTC,409,9992
Guadeloupe,15.999558482142868,-61.721562053571411,136.46228794642852,136.30450000000002,6.2069923718981252,0.0,2023-04-30 00:17:29.034743 UTC,2022-10-04 21:59:42.736248 UTC,207,448
United Kingdom,51.514257377061931,-0.093776312658465713,498.23075489657396,30.722,6.3051529032757054,0.0,2023-04-30 23:58:11.952734 UTC,2022-02-02 12:52:23.734143 UTC,452,243742
France,48.8323,2.4075,920.8703075711752,48.781,7.7966967209905453,0.0,2023-04-30 23:52:00.108941 UTC,2022-02-15 05:57:18.983840 UTC,439,40007
Portugal,38.756261316397115,-9.1111254554786054,610.10657569925456,42.5085,10.32815562829337,0.0,2023-04-30 23:50:10.656434 UTC,2022-04-02 10:28:30.939564 UTC,393,7794
Martinique,14.607114463066416,-61.072533457479885,140.71615518311597,139.207,4.9763538559216567,0.0,2023-04-30 23:58:34.333265 UTC,2022-10-11 21:49:44.292851 UTC,201,1611
Colombia,4.6155663964273375,-74.081307179663852,1865.8815698385465,55.774,5.2192735988780257,0.0,2023-04-30 23:55:44.264118 UTC,2022-08-05 04:16:54.863931 UTC,268,14555
Puerto Rico,18.3861,-66.0434,72.701161129568149,70.14,5.6310003432822366,0.0,2023-04-30 20:28:08.624833 UTC,2022-04-23 15:12:48.277038 UTC,372,602
Ireland,53.337948293738044,-6.2591,340.14866221504741,39.8505,10.316659311376741,0.0,2023-04-30 23:59:20.927747 UTC,2022-02-18 01:35:31.028372 UTC,436,29128
Mozambique,-25.9707,32.601,455.33442857142859,462.6935,1.261843481740214,0.0,2022-12-13 13:48:55.482921 UTC,2022-11-07 16:08:30.496698 UTC,35,14
Saint Barthélemy,17.8833,-62.85,135.22839942528739,133.38400000000001,3.7579751963389061,0.0,2023-04-30 13:04:28.520450 UTC,2022-08-21 23:36:33.040644 UTC,251,696
Dominican Republic,18.462875572519131,-69.892454198473388,71.637285305343426,66.397,4.2267413211765579,0.0,2023-04-30 23:37:25.060295 UTC,2022-08-14 01:50:48.933130 UTC,259,3144
Canada,46.083924064746533,-91.796986406717622,546.199264341625,49.264,5.9632430573020114,0.0,2023-04-30 23:59:00.331131 UTC,2021-09-19 04:07:14.248428 UTC,588,723681
Kenya,-1.2841,36.8155,406.05833333333334,380.761,2.0721337246820313,0.0,2023-04-27 08:39:21.917867 UTC,2023-04-17 09:58:28.352243 UTC,9,3
Netherlands,52.375136382779672,4.8958662143191551,47.436418343472113,40.915499999999994,7.5622752664323674,0.0,2023-04-30 18:08:35.966083 UTC,2022-03-17 11:08:42.785905 UTC,409,4274
Australia,-33.833376358131659,151.07517365283698,818.85458256279821,44.0475,5.8978616751049335,0.0,2023-04-30 23:58:56.603387 UTC,2022-03-11 05:03:16.757657 UTC,415,364692
New Zealand,-36.850684635534307,174.76794195607764,716.00956491344039,32.8655,8.6337779775618166,0.0,2023-04-30 23:56:19.102595 UTC,2022-03-11 01:38:11.383274 UTC,415,57646
Italy,41.8904,12.5126,625.10072709408212,55.153,7.6376162320329382,0.0,2023-04-30 23:02:57.714009 UTC,2022-03-17 08:28:08.044201 UTC,409,46309
Chile,-33.451462532346191,-70.662922964434088,993.82187022327514,61.787499999999994,7.9024528284628177,0.0,2023-04-30 23:29:49.560796 UTC,2022-03-17 04:18:47.769815 UTC,409,33234
Philippines,14.6019,120.9896,191.8839395020826,157.993,2.9218389387288979,0.0,2023-04-30 23:51:59.392923 UTC,2022-12-07 05:01:49.078819 UTC,144,11769
