,CountryName,MNOName,Rank,Virtual
0,Afghanistan,MTN,1,False
1,Afghanistan,Roshan,2,False
2,Afghanistan,Etisalat Afghanistan,3,False
3,Afghanistan,Afghan Wireless,4,False
4,Afghanistan,Salaam,5,False
5,American Samoa,Blue Sky Communications,1,False
6,American Samoa,American Samoa Telecommunications Authority (ASTCA),2,False
7,Australia,Telstra,1,False
8,Australia,Optus,2,False
9,Australia,Vodafone AU,3,False
10,Bangladesh,"Grameenphone
",1,False
11,Bangladesh,"Robi
",2,False
12,Bangladesh,"Banglalink
",3,False
13,Bangladesh,"Teletalk
",4,False
14,Bhutan,B-Mobile,1,False
15,Bhutan,TashiCell,2,False
16,Bougainville,PNG dataco,1,False
17,Brunei Darussalam,Datastream Technology Sdn Bhd (DST),1,False
18,Brunei Darussalam,Progresif Cellular Sdn Bhd (formerly B-mobile),2,False
19,Cambodia,Metfone,1,False
20,Cambodia,Smart,2,False
21,Cambodia,Cellcard,3,False
22,Cook Islands,Vodafone(formerly Bluesky),1,False
23,Fiji,Vodafone,1,False
24,Fiji,Digicel,2,False
25,French Polynesia,VINI,1,False
26,French Polynesia,"Vodafone
",2,False
27,French Polynesia,VITI,3,False
28,Guam,IT&E and Iconnect,1,False
29,Guam,Docomo Pacific,2,False
30,Guam,GTA,3,False
31,Hong Kong,CMHK(China Mobile Hong Kong),1,False
32,Hong Kong,"HKT(including csl, 1O1O, Club SIM and SUN Mobile)",2,False
33,Hong Kong,3 Hong Kong,3,False
34,Hong Kong,SmarTone,4,False
35,Hong Kong,"HKBN(4G using CMHK or SmarTone;5G using 3 Hong Kong)
","1
",True
36,Hong Kong,"Birdie (Using SmarTone)
","2
",True
37,Hong Kong,"Mobile Duck (Using CMHK)
","3
",True
38,Hong Kong,"MO+ (Using 3 Hong Kong)
","4
",True
39,Hong Kong,"ValueGB (Using SmarTone)
","5
",True
40,Hong Kong,"MB (Using CMHK)
","6
",True
41,Hong Kong,"IMC (Using HKT)
","7
",True
42,Hong Kong,"China Unicom (Using 3 Hong Kong)
","8
",True
43,Hong Kong,"CTExcel (Using HKT)
","9
",True
44,India,"
Jio

",1,False
45,India,"
Airtel

",2,False
46,India,"
Vi

",3,False
47,India,"
BSNL

",4,False
48,India,"
MTNL(Areas: Mumbai, Delhi)

",5,False
49,Indonesia,Telkomsel(Include previous TelkomFlexi network),1,False
50,Indonesia,"Indosat Ooredoo Hutchison(Include previous Satelindo, Indosat-M3, 3 and StarOne network)
",2,False
51,Indonesia,XL Axiata(Include previous Axis network),3,False
52,Indonesia,"Smartfren(Include previous Esia and Mobile-8 network)
",4,False
53,Indonesia,by.U (using Telkomsel),1,True
54,Indonesia,Live.On (using XL Axiata),3,True
55,Indonesia,Power Up (using Smartfren),4,True
56,Japan,NTT Docomo,1,False
57,Japan,au,2,False
58,Japan,SoftBank Corp.& Ymobile,3,False
59,Japan,Rakuten Mobile[61],4,False
60,Japan,Disney Mobile (using SoftBank Mobile),1,True
61,Japan,b-mobile(using NTT Docomo),2,True
62,Japan,"IIJmio
",3,True
63,Kazakhstan,Beeline (including izi),1,False
64,Kazakhstan,Kcell (including activ),2,False
