,CountryName,MNOName,Rank,Virtual
7,Australia,Telstra,1,False
8,Australia,Optus,2,False
9,Australia,Vodafone AU,3,False
49,Indonesia,Telkomsel(Include previous TelkomFlexi network),1,False
50,Indonesia,"Indosat Ooredoo Hutchison(Include previous Satelindo, Indosat-M3, 3 and StarOne network)
",2,False
51,Indonesia,XL Axiata(Include previous Axis network),3,False
52,Indonesia,"Smartfren(Include previous Esia and Mobile-8 network)
",4,False
53,Indonesia,by.U (using Telkomsel),1,True
54,Indonesia,Live.On (using XL Axiata),3,True
55,Indonesia,Power Up (using Smartfren),4,True
56,Japan,NTT Docomo,1,False
57,Japan,au,2,False
58,Japan,SoftBank Corp.& Ymobile,3,False
59,Japan,Rakuten Mobile[63],4,False
60,Japan,Disney Mobile (using SoftBank Mobile),1,True
61,Japan,b-mobile(using NTT Docomo),2,True
62,Japan,"IIJmio
",3,True
83,Malaysia,CelcomDigi,1,False
84,Malaysia,Maxis,2,False
85,Malaysia,"U Mobile
",3,False
86,Malaysia,Yes 4G,4,False
87,Malaysia,"Unifi Mobile
",5,False
88,Malaysia,Redtone,6,False
89,Malaysia,ALTEL,7,False
90,Malaysia,"Digital Nasional Berhad (DNB)
(Malaysia 5G Single Wholesale Network)

",8,False
91,Malaysia,XOX(uses Celcom),1,True
92,Malaysia,TuneTalk(uses Celcom),2,True
93,Malaysia,redONE(uses Celcom),3,True
94,Malaysia,Merchantrade(uses Celcom),4,True
95,Malaysia,SpeakOut(uses DiGi),5,True
96,Malaysia,MY Evolution(uses DiGi),6,True
97,Malaysia,Telin Malaysia (Kartu As)(uses U Mobile),7,True
98,Malaysia,mCalls(uses DiGi),8,True
115,New Zealand,"One NZ(formerly Vodafone NZ, BellSouth)",1,False
116,New Zealand,Spark(formerly Telecom),2,False
117,New Zealand,2degrees,3,False
118,New Zealand,Compass Mobile(using Spark)[122],?,True
119,New Zealand,"Orcon Mobile(using 2degrees, formerly used Spark[123])",?,True
120,New Zealand,Slingshot Mobile(using Spark),?,True
121,New Zealand,Skinny(using Spark),?,True
122,New Zealand,"Warehouse Mobile[124](using 2degrees)
",?,True
123,New Zealand,Kogan Mobile(using One NZ),?,True
133,Philippines,Globe Telecom,1,False
134,Philippines,Smart Communications,2,False
135,Philippines,Dito Telecommunity,3,False
136,Philippines,Now Telecom,4,False
137,Philippines,TNT(using Smart),1,True
138,Philippines,TM(using Globe),2,True
139,Philippines,GOMO(using Globe),3,True
142,Singapore,Singtel Mobile with digital sub-brands GOMO and heya,1,False
143,Singapore,M1with a digital sub-brand M1 MAXX,2,False
144,Singapore,StarHub with a digital sub-brand giga!,3,False
145,Singapore,SIMBA (formerly TPG Mobile),4,False
146,Singapore,GRID Communications,5,False
147,Singapore,Circles.Life (Using M1),1,True
148,Singapore,Zero1 (Using Singtel),2,True
149,Singapore,MyRepublic (Using StarHub for its 5G plans; Using M1 for its 4G plans),3,True
150,Singapore,"redONE (Using StarHub)
","4
",True
151,Singapore,VIVIFI (Using Singtel),5,True
152,Singapore,"Geenet Mobile (Using M1)
","6
",True
153,Singapore,"China Mobile CMLink SG (Using Singtel)
","7
",True
154,Singapore,"Changi Mobile (Using M1)
","8
",True
155,Singapore,"ZYM (Using Singtel)
","9
",True
156,Singapore,"ZΩH (Using M1)
","10
",True
157,Solomon Islands,Our Telekom,1,False
196,Tonga,Digicel,1,False
197,Tonga,TCC,2,False
6,Austria,A1,1,False
7,Austria,"Magenta Telekom  (Formerly T-Mobile, max.mobil.)",2,False
8,Austria,Drei•Includes the previous Orange network.,3,False
9,Austria,"spusu
","4
",False
17,Belgium,Proximus  (formerly Belgacom),1,False
18,Belgium,"Orange  (formerly Mobistar, OBE)",2,False
19,Belgium,Base ,3,False
23,Croatia,"Hrvatski Telekom  (Formerly T-Mobile, HTmobile)",1,False
24,Croatia,"A1  (Formerly Vip, Vipnet)",2,False
25,Croatia,"Telemach(Formerly Tele2)
",3,False
26,Cyprus,Cytamobile-Vodafone,1,False
27,Cyprus,"Epic (Formerly MTN, Areeba)",2,False
28,Cyprus,PrimeTel,3,False
29,Cyprus,"Cablenet(Formerly Lemontel, as MVNO on Cyta)",4,False
30,Cyprus,Kuzey Kıbrıs Turkcell,1,False
31,Cyprus,Telsim Vodafone,2,False
32,Czechia,T-Mobile  (Formerly Paegas),1,False
33,Czechia,"O2  (Formerly Eurotel, Český Telecom) ",2,False
34,Czechia,Vodafone  (Formerly Oskar),3,False
35,Denmark,TDC,1,False
36,Denmark,Telenor  (Formerly Sonofon),2,False
37,Denmark,Telia,3,False
38,Denmark,3,4,False
39,Estonia,"Telia
(Formerly EMT)

",1,False
40,Estonia,Elisa  (Formerly Radiolinja),2,False
41,Estonia,"Tele2
(Formerly Q-GSM)

",3,False
45,Finland,Elisa  (Formerly Radiolinja),1,False
46,Finland,"Telia  (Formerly Telecom Finland, Sonera)",2,False
47,Finland,DNA,3,False
48,Finland,Ålcom  (Formerly ÅMT / Ålands Mobiltelefon),4,False
49,France,"Orange  (Formerly Orange-Itineris,Itineris)",1,False
50,France,SFR,2,False
51,France,Bouygues Telecom,3,False
52,France,Free Mobile,4,False
56,Germany,"Telekom  (Formerly D1 DeTeMobil, T-Mobile)",1,False
57,Germany,O2  (Formerly VIAG Interkom) • Includes the previous E-Plus network.,2,False
58,Germany,"Vodafone  (Formerly D2 Mannesmann, Vodafone D2)",3,False
60,Greece,Cosmote,1,False
61,Greece,Vodafone (Formerly PANAFON) •Includes the previous Cyta Hellas network.,2,False
62,Greece,"Nova(Formerly TELESTET, TIM, WIND)",3,False
63,Guernsey,Sure,1,False
64,Guernsey,JT,2,False
65,Guernsey,Airtel-Vodafone,3,False
66,Hungary,"Magyar Telekom  (Formerly Westel 900, Westel, T-Mobile)",1,False
67,Hungary,"Yettel (Formerly Pannon GSM, Pannon, Telenor)",2,False
68,Hungary,Vodafone • Includes the previous UPC Hungary and DIGI Mobile networks.,3,False
72,Ireland,"Three•Includes the previous O2 network
",1,False
73,Ireland,"Vodafone(Formerly Eircell)
",2,False
74,Ireland,"eir(Formerly Meteor)
",3,False
77,Italy,"Wind Tre
(Formerly Wind and 3 Italy)

",1,False
78,Italy,"TIM
(Formerly SIP)

",2,False
79,Italy,"Vodafone
(Formerly Omnitel)

",3,False
80,Italy,"Iliad
",4,False
81,Italy,"FASTWEB
",5,False
88,Latvia,LMT,1,False
89,Latvia,Tele2,2,False
90,Latvia,Bite,3,False
91,Latvia,Triatel,4,False
92,Latvia,Xomobile,5,False
96,Lithuania,Tele2(Pildyk),1,False
97,Lithuania,"Telia(Ezys; Telia Extra)(Formerly Omnitel, Teo LT)",2,False
98,Lithuania,Bitė(Labas),3,False
99,Lithuania,Mezon,4,False
100,Luxembourg,Orange,1,False
101,Luxembourg,Tango,2,False
102,Luxembourg,POST,3,False
103,Luxembourg,Luxembourg Online,4,False
104,Malta,Epic  (Formerly Vodafone Malta and Telecell),1,False
105,Malta,GO  (Formerly MALTACOM),2,False
106,Malta,Melita,3,False
107,Moldova,Orange,1,False
108,Moldova,Moldcell,2,False
109,Moldova,Moldtelecom,3,False
110,Moldova,Interdnestrcom operating in Transnistria region only,4,False
115,Netherlands,"Odido (Formerly T-Mobile, Ben, Dutchtone)•Includes the previous Tele2 and Orange networks.
",1,False
116,Netherlands,KPN •Includes the previous Telfort network.,2,False
117,Netherlands,Vodafone  (Formerly Libertel),3,False
118,North Macedonia,"Telekom  (Formerly T-Mobile, MOBIMAK)",1,False
119,North Macedonia,"A1 (Formerly one.Vip, Cosmofon)",2,False
120,Norway,Telenor,1,False
121,Norway,Telia (Formerly NetCom) •Includes the previous Tele2 network.,2,False
122,Norway,"Ice (Formerly Ice.net)
",3,False
123,Poland,Orange (Formerly Idea),1,False
124,Poland,Play,2,False
125,Poland,Plus (Formerly Plus GSM),3,False
126,Poland,T-Mobile (Formerly Era),4,False
127,Portugal,MEO  (Formerly TMN),1,False
128,Portugal,NOS  (Formerly Optimus),2,False
129,Portugal,Vodafone  (Formerly Telecel),3,False
130,Romania,Orange(Formerly Dialog),1,False
