cnt,countryC,cityC,dist_km,stl_rtt_fraction,stl_rtt,min_rtt,trace_rtt,num_hops,tput_mbps,dl_mbps,ul_mbps,loss_rate
118362,AU,,10.038850430257275,"[0.02,10.52,13.69,19.02,34.91,40.11,67.65,77.8,94.07,94.53,94.82,95.05,95.24,95.41,95.57,95.69,95.8,95.89,95.98,96.06,96.13,96.19,96.26,96.31,96.37,96.42,96.47,96.52,96.58,96.63,96.69,96.74,96.8,96.86,96.92,96.99,97.06,97.13,97.19,97.26,97.32,97.38,97.44,97.5,97.55,97.6,97.65,97.7,97.74,97.78,97.81,97.85,97.88,97.91,97.94,97.97,98.0,98.02,98.05,98.07,98.1,98.12,98.14,98.17,98.19,98.21,98.24,98.26,98.28,98.31,98.33,98.35,98.38,98.41,98.43,98.46,98.48,98.5,98.52,98.55,98.57,98.59,98.61,98.63,98.65,98.67,98.69,98.72,98.74,98.77,98.8,98.83,98.87,98.91,98.96,99.02,99.09,99.17,99.27,99.41,100.0]","[0.050000000000011369,19.996,21.139,21.842999999999989,22.377,22.846,23.318,23.775000000000002,24.292,24.735,25.110000000000003,25.492,25.855999999999998,26.189,26.553,26.947000000000003,27.321,27.697,28.104999999999961,28.477,28.833000000000002,29.174999999999997,29.5,29.775,30.068,30.316,30.547,30.776000000000003,30.992,31.203,31.404,31.607,31.823,32.032000000000004,32.248,32.46,32.655,32.851,33.055,33.25,33.443,33.623000000000005,33.787,33.953,34.122000000000007,34.285,34.452999999999996,34.607,34.759,34.92,35.097,35.254,35.422999999999995,35.588,35.778,35.961999999999989,36.15,36.332,36.53,36.723,36.932,37.156,37.361,37.596,37.82,38.049,38.283,38.495999999999995,38.726,38.981,39.261,39.528,39.865,40.248000000000005,40.633,41.058,41.525,42.04,42.577,43.161,43.784,44.474000000000004,45.210999999999984,45.996,46.86,47.827999999999996,49.190000000000005,50.701,52.429,54.473,56.471,58.617,61.459,64.932999999999993,68.208,72.471,79.67,98.079,113.17800000000003,133.744,4294966.82]",36.501,0.737,5,11.3366728048521,58.208245531269064,5.64422221582255,1.4704111452319135e-05
319,AU,Adelaide Hills,1127.6919275720732,"[14.58,15.24,16.03,16.91,18.87,19.81,21.44,23.61,24.95,26.13,26.44,27.31,27.41,27.88,39.4,50.29,52.49,53.23,94.04,94.33,94.58,94.75,95.0,95.05,95.43,95.58,95.86,96.0,96.04,96.1,96.14,96.2,96.27,96.41,96.44,96.47,96.52,96.57,96.63,96.66,96.73,96.75,96.88,97.03,97.17,97.38,97.43,97.49,97.53,97.54,97.59,97.61,97.62,97.67,97.7,97.75,97.85,97.87,97.88,97.89,97.94,97.97,97.98,98.01,98.03,98.05,98.07,98.11,98.13,98.17,98.17,98.19,98.2,98.22,98.24,98.26,98.27,98.3,98.3,98.33,98.36,98.39,98.42,98.46,98.48,98.52,98.57,98.61,98.7,98.75,98.78,98.81,98.87,98.96,99.01,99.08,99.14,99.17,99.23,99.48,99.71]","[18.877,20.436999999999998,20.912000000000003,21.873,23.514999999999997,23.809,24.549,24.857999999999997,25.95,26.081,27.249,28.072,28.356000000000009,28.739,29.465999999999998,30.025000000000002,30.559,30.755,31.130000000000003,31.410999999999998,31.855,32.297999999999995,32.684000000000005,32.900000000000006,32.97,33.135999999999996,33.277,33.375,33.456,33.522000000000006,33.841,33.949999999999996,34.156,34.342,34.454999999999984,34.598,34.799000000000007,34.961999999999996,35.133999999999993,35.319,35.658,35.784,36.189,36.698,36.763999999999996,36.92,37.100000000000023,37.341000000000008,37.655,37.846999999999994,37.993,38.451,38.939,39.114000000000004,39.227,39.284,39.466,39.876000000000005,40.856,41.108000000000004,41.459,41.632,42.196,42.962,43.288999999999994,44.624,45.322,46.847,47.399,50.569999999999993,51.192,51.942,54.15,54.375,54.911,56.556999999999995,59.861999999999995,60.807,61.662,63.178,64.307999999999993,65.344,65.84,66.148,67.381999999999991,68.805999999999983,69.139,70.205000000000013,71.258,71.931,73.461999999999989,75.422,81.414,92.052999999999983,98.904,109.929,114.822,118.179,129.124,222.10299999999998,843.184]",40.962,0.899,6,15.211030936937862,66.101946258459137,5.45685364364409,0.00010295605786942598
3186,AU,Ballarat,773.375805601758,"[3.64,36.32,55.57,72.1,86.13,94.12,94.58,94.86,95.07,95.26,95.44,95.61,95.73,95.85,95.94,96.02,96.09,96.17,96.24,96.3,96.35,96.4,96.45,96.5,96.55,96.62,96.69,96.75,96.82,96.88,96.96,97.03,97.11,97.21,97.26,97.31,97.36,97.41,97.47,97.52,97.56,97.61,97.66,97.7,97.74,97.78,97.83,97.86,97.89,97.92,97.95,97.99,98.02,98.05,98.07,98.1,98.14,98.17,98.18,98.21,98.23,98.26,98.29,98.32,98.34,98.37,98.39,98.42,98.44,98.46,98.48,98.5,98.52,98.55,98.56,98.58,98.61,98.62,98.64,98.66,98.68,98.7,98.72,98.74,98.76,98.79,98.82,98.85,98.88,98.92,98.97,99.0,99.06,99.1,99.15,99.18,99.25,99.33,99.4,99.54,99.97]","[1.2349999999999994,20.608,21.356,21.973,22.478,22.904,23.3,23.818,24.257,24.676000000000002,25.192999999999998,25.547,25.858999999999998,26.206,26.558,26.839000000000002,27.22,27.53,27.945,28.348,28.713,29.068,29.519,29.834999999999997,30.147,30.343,30.581,30.852,31.026,31.288,31.541000000000004,31.703,31.982999999999997,32.266999999999996,32.421000000000006,32.659000000000006,32.936,33.166999999999994,33.381,33.551,33.825,33.972,34.174,34.362,34.611,34.822,34.975,35.083,35.235,35.396,35.557,35.803,35.992,36.145,36.312,36.522,36.795,37.007,37.189,37.357000000000006,37.596000000000004,37.826,38.092,38.305,38.516999999999996,38.766,39.041999999999994,39.321,39.626000000000005,40.004999999999995,40.409,40.722,41.215,41.835,42.403,42.893,43.672999999999995,44.253,44.811,45.381,46.053000000000004,46.827000000000005,47.89,48.815000000000005,49.693000000000005,51.046000000000006,52.655,54.266,55.75,57.082,58.824999999999996,61.675000000000004,65.667999999999992,69.353,74.528,79.195,84.373,92.521,105.666,148.044,1950.329]",36.865,0.713,5,11.760790637958898,56.348401895020686,5.7603965358313616,4.7968480596663942e-06
26,AU,Benayeo,974.343599711633,"[16.0,16.0,16.0,16.0,21.93,21.93,21.93,21.93,22.1,22.1,22.1,22.1,53.12,53.12,53.12,53.12,53.55,53.55,53.55,53.55,96.31,96.31,96.31,96.31,96.55,96.55,96.55,96.66,96.66,96.66,96.66,96.95,96.95,96.95,96.95,97.03,97.03,97.03,97.03,97.06,97.06,97.06,97.06,97.12,97.12,97.12,97.12,97.24,97.24,97.24,97.24,97.32,97.32,97.32,97.35,97.35,97.35,97.35,97.96,97.96,97.96,97.96,97.99,97.99,97.99,97.99,98.05,98.05,98.05,98.05,98.08,98.08,98.08,98.08,98.09,98.09,98.09,98.12,98.12,98.12,98.12,98.21,98.21,98.21,98.21,98.44,98.44,98.44,98.44,98.63,98.63,98.63,98.63,98.69,98.69,98.69,98.69,98.7,98.7,98.7,98.7]","[24.791,24.791,24.791,24.791,25.04,25.04,25.04,25.04,25.333,25.333,25.333,25.333,26.182,26.182,26.182,26.182,28.887,28.887,28.887,28.887,29.081,29.081,29.081,29.081,30.828,30.828,30.828,31.209,31.209,31.209,31.209,31.646,31.646,31.646,31.646,31.664,31.664,31.664,31.664,32.149,32.149,32.149,32.149,32.752,32.752,32.752,32.752,35.453,35.453,35.453,35.453,36.333,36.333,36.333,39.402,39.402,39.402,39.402,40.242,40.242,40.242,40.242,41.382999999999996,41.382999999999996,41.382999999999996,41.382999999999996,41.835,41.835,41.835,41.835,42.605,42.605,42.605,42.605,43.371,43.371,43.371,44.571000000000005,44.571000000000005,44.571000000000005,44.571000000000005,48.043,48.043,48.043,48.043,52.281000000000006,52.281000000000006,52.281000000000006,52.281000000000006,52.793000000000006,52.793000000000006,52.793000000000006,52.793000000000006,117.82900000000001,117.82900000000001,117.82900000000001,117.82900000000001,119.894,119.894,119.894,119.894]",36.909,0.861,5,6.8018438343937007,31.775491197746778,3.8216099280610356,0.0
213,AU,Booroobin,807.19919433517759,"[0.17,12.87,14.18,15.87,20.51,20.8,22.22,22.91,28.31,28.84,44.12,53.4,76.68,78.81,94.54,94.83,95.75,95.81,96.11,96.12,96.19,96.25,96.29,96.48,96.51,96.56,96.73,96.76,96.8,96.82,96.9,96.99,97.03,97.12,97.19,97.21,97.24,97.29,97.33,97.37,97.38,97.39,97.45,97.51,97.52,97.56,97.57,97.65,97.67,97.67,97.68,97.69,97.7,97.71,97.81,97.85,97.9,97.92,97.94,97.97,97.99,98.01,98.03,98.04,98.06,98.08,98.09,98.1,98.13,98.15,98.16,98.19,98.19,98.2,98.21,98.22,98.25,98.27,98.29,98.3,98.31,98.33,98.34,98.4,98.41,98.42,98.43,98.44,98.45,98.5,98.51,98.59,98.6,98.62,98.65,98.68,98.73,98.81,98.85,99.2,99.64]","[0.32499999999998863,20.294999999999998,20.724,21.727,23.026,23.639000000000003,24.356,24.681,26.815000000000012,27.079,27.298000000000016,27.496000000000002,27.989999999999995,28.259999999999998,28.649,29.313000000000002,30.147000000000002,30.276,30.446,30.529999999999998,30.746000000000009,30.853,30.967,31.018,31.087,31.368,31.444,31.451,31.803000000000004,31.913000000000004,32.182,32.501,32.620999999999995,32.831,32.928,33.283,33.427000000000007,33.613,33.794,33.939,34.112,34.297,34.379,34.506,34.595,34.632999999999996,34.854,35.029,35.097999999999985,35.257000000000005,35.35,35.42,35.720000000000006,35.876,36.05,36.147,36.252,36.563,36.628,36.689,36.844,36.927,37.275,37.455999999999996,37.678,37.825999999999993,38.056,38.274999999999991,38.531,38.875999999999991,39.052,39.278,39.355,39.587,39.754999999999995,39.952,40.019999999999996,40.54,41.057000000000016,41.229000000000013,41.86,42.01,42.134,42.23,42.711999999999996,43.044,43.382000000000005,44.652,45.103,45.682,46.531,47.486,48.751000000000005,49.533,51.666000000000004,52.824000000000012,55.301999999999992,55.561,75.394,116.363,177.303]",37.098,0.748,6,14.598924244142259,61.2438068628548,5.9474142862585335,0.000501745453928038
262,AU,Bororen,1078.5650690836521,"[8.98,10.63,11.98,13.48,14.53,15.1,15.49,15.96,16.21,17.48,17.57,18.29,18.57,19.03,19.83,20.38,22.28,24.72,26.1,27.18,32.68,50.66,53.45,93.87,94.37,95.45,95.79,95.85,96.2,96.27,96.34,96.36,96.38,96.45,96.52,96.55,96.63,96.67,96.7,96.77,96.88,96.96,97.07,97.14,97.23,97.31,97.41,97.46,97.49,97.53,97.65,97.68,97.74,97.76,97.78,97.82,97.85,97.88,97.9,97.92,97.94,97.97,98.01,98.02,98.02,98.04,98.05,98.07,98.11,98.13,98.14,98.16,98.19,98.23,98.26,98.28,98.32,98.33,98.35,98.37,98.39,98.41,98.43,98.49,98.5,98.52,98.55,98.58,98.62,98.64,98.77,98.82,98.91,98.92,98.96,98.97,98.98,99.0,99.04,99.15,99.58]","[17.85499999999999,20.917,22.010000000000005,22.066,22.514000000000003,22.892,23.387,24.65300000000002,25.047,25.545,26.022,27.608,28.598000000000003,29.552,30.345000000000002,30.646999999999991,30.810000000000002,30.964,31.488999999999997,31.94,32.037,32.29,32.839,33.223000000000013,33.33,33.488,33.921,34.120000000000005,34.294000000000004,34.438,34.805,35.11699999999999,35.468999999999994,35.827,36.081,36.085,36.444,36.564,36.873999999999995,37.111000000000004,37.237,37.305,37.768,37.784,38.085,38.15,38.400999999999996,38.607,38.629999999999995,38.830999999999996,38.961999999999996,39.323,39.698,39.811,40.403999999999996,40.572,40.660000000000004,40.869,41.008,41.259,41.403999999999996,42.091,42.269999999999996,42.351,42.708000000000006,43.165,43.713,43.936,44.751,45.007,45.441,45.812,46.604,47.263,47.461999999999996,47.662000000000006,48.116,48.458,49.64,50.735,51.033,51.942000000000007,53.242000000000004,61.568,63.443,64.049999999999983,64.195,64.207,64.886,65.446,65.508,65.977,66.527,67.63900000000001,68.873,69.997,77.077,106.50399999999999,116.04499999999999,140.087,159.091]",44.808,0.853,5,14.139020498195462,53.871795643528081,5.8328654465335958,0.0
122,AU,Brisbane,741.8183732974428,"[37.44,37.81,73.67,75.01,94.45,95.06,95.36,95.39,95.46,95.55,95.98,96.02,96.02,96.04,96.07,96.25,96.27,96.3,96.36,96.39,96.41,96.42,96.56,96.61,96.7,96.72,96.77,96.84,96.91,97.02,97.07,97.15,97.22,97.41,97.48,97.5,97.57,97.66,97.67,97.71,97.73,97.78,97.82,97.83,97.84,97.9,97.91,97.92,97.94,97.99,98.03,98.11,98.12,98.14,98.18,98.21,98.22,98.23,98.24,98.26,98.3,98.32,98.33,98.39,98.4,98.41,98.48,98.48,98.5,98.5,98.5,98.5,98.51,98.53,98.53,98.56,98.56,98.58,98.6,98.61,98.62,98.63,98.68,98.69,98.7,98.71,98.74,98.82,98.85,98.85,98.87,98.91,98.92,98.92,98.94,98.94,99.19,99.2,99.2,99.26,99.41]","[20.410999999999998,20.894,21.393,21.927,22.413,24.043000000000003,24.652,24.686,24.735,25.09,26.162,26.195,26.325,26.471999999999998,27.012999999999998,27.191000000000003,27.351999999999997,27.805000000000007,27.885,27.942,28.081,28.251000000000005,29.265,30.103,30.331,30.477999999999998,30.514,30.677,31.148999999999997,31.194,31.196,31.198,31.413,31.688999999999997,31.762,31.875000000000004,32.159,32.53,32.935,33.151999999999994,33.264,33.357,33.407000000000004,33.413000000000004,33.76,33.982,34.214999999999996,34.245999999999995,34.287,34.361999999999995,34.626,34.762,34.786,34.939,35.252,35.487,36.521,36.591,36.747,36.791000000000004,36.901,37.051,37.301,37.428000000000004,37.687000000000005,37.823,38.039,38.131,38.23,39.036,39.42,39.592,39.654,40.689,40.802,40.852,41.086,42.336999999999996,43.523,43.538,44.315,44.523,48.038,49.108,49.613,51.153999999999996,51.743,52.589999999999996,54.492999999999995,55.485,55.999,58.305,60.679,60.86,61.285,64.220999999999989,65.208,67.769,68.685,80.396,118.506]",35.563,0.685,5,10.687380085387055,66.340206180346485,6.8889250217635585,0.0001047514444631847
8,AU,Bundanoon,113.29829410098958,"[95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,95.98,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,96.43,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.05,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.09,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.24,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.45,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.48,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5]","[25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,25.226000000000003,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,30.708,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.116000000000003,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,31.834,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,32.074999999999996,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,34.751999999999995,35.205,35.205,35.205,35.205,35.205,35.205,35.205,35.205,35.205,35.205,35.205,35.205,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996,39.147999999999996]",32.324,0.49,5,12.247032391402344,126.97857540595723,7.9622209662277488,0.0
14,AU,Cobden,874.926292678914,"[95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.7,95.88,95.88,95.88,95.88,95.88,95.88,95.88,96.38,96.38,96.38,96.38,96.38,96.38,96.38,96.42,96.42,96.42,96.42,96.42,96.42,96.42,97.03,97.03,97.03,97.03,97.03,97.03,97.03,97.46,97.46,97.46,97.46,97.46,97.46,97.46,97.56,97.56,97.56,97.56,97.56,97.56,97.56,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.64,97.89,97.89,97.89,97.89,97.89,97.89,97.89,97.9,97.9,97.9,97.9,97.9,97.9,97.9,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.43,98.43,98.43,98.43,98.43,98.43,98.43,98.63,98.63,98.63,98.63,98.63,98.63,98.63,98.65,98.65,98.65,98.65,98.65,98.65,98.65,98.65]","[22.058,22.058,22.058,22.058,22.058,22.058,22.058,22.058,28.78,28.78,28.78,28.78,28.78,28.78,28.78,30.621,30.621,30.621,30.621,30.621,30.621,30.621,31.034,31.034,31.034,31.034,31.034,31.034,31.034,31.885,31.885,31.885,31.885,31.885,31.885,31.885,33.690999999999995,33.690999999999995,33.690999999999995,33.690999999999995,33.690999999999995,33.690999999999995,33.690999999999995,34.595,34.595,34.595,34.595,34.595,34.595,34.595,34.604000000000006,34.604000000000006,34.604000000000006,34.604000000000006,34.604000000000006,34.604000000000006,34.604000000000006,34.604000000000006,34.747,34.747,34.747,34.747,34.747,34.747,34.747,37.203,37.203,37.203,37.203,37.203,37.203,37.203,37.36,37.36,37.36,37.36,37.36,37.36,37.36,40.034000000000006,40.034000000000006,40.034000000000006,40.034000000000006,40.034000000000006,40.034000000000006,40.034000000000006,53.983999999999995,53.983999999999995,53.983999999999995,53.983999999999995,53.983999999999995,53.983999999999995,53.983999999999995,58.456,58.456,58.456,58.456,58.456,58.456,58.456,58.456]",35.588,0.8,4,35.690347389350215,48.210305627104468,6.2642090147390519,0.006686244585074992
277,AU,Corrigin,3091.6778783995574,"[20.81,24.75,50.47,52.37,62.33,67.01,93.59,94.5,94.71,94.99,95.32,95.52,95.72,95.73,95.74,95.76,95.84,95.89,95.9,95.96,96.02,96.03,96.05,96.13,96.15,96.18,96.2,96.22,96.24,96.34,96.39,96.43,96.45,96.47,96.51,96.54,96.57,96.64,96.68,96.77,96.83,96.85,97.03,97.11,97.16,97.21,97.34,97.37,97.38,97.46,97.54,97.57,97.62,97.66,97.69,97.71,97.75,97.76,97.78,97.79,97.83,97.84,97.85,97.87,97.89,97.93,97.93,97.94,97.98,98.04,98.04,98.05,98.08,98.08,98.09,98.11,98.12,98.15,98.18,98.19,98.21,98.22,98.24,98.25,98.29,98.3,98.31,98.32,98.34,98.36,98.39,98.42,98.44,98.47,98.49,98.61,98.68,98.75,98.93,99.2,99.39]","[19.607,20.377,21.729,22.765,24.064,24.227999999999998,25.478,26.296,26.679000000000002,27.238,27.976,28.294,28.421000000000003,28.851,28.987,29.303,29.545,29.668999999999997,29.755,29.818,29.937,30.157,30.174000000000003,30.430999999999997,30.966999999999995,31.033,31.308999999999997,31.514000000000003,31.862000000000002,32.186,32.374,32.400999999999996,32.631,32.818000000000005,33.027,33.071000000000005,33.181000000000004,33.271,33.67,33.748,33.899,34.188,34.323,34.51,34.763999999999996,34.934,35.084999999999994,35.24,35.439,35.525,35.607,35.742000000000004,35.904,36.131,36.248,36.433,36.542,36.679,37.002,37.379,37.499,37.663000000000004,37.744,37.861000000000004,38.0,38.357,38.468,38.589,38.642,38.997,39.254999999999995,39.409,39.77,40.182,40.32,40.641000000000005,41.043,41.223,41.593,41.672000000000004,41.723,41.932,42.357,42.759,43.872,44.922,45.861000000000004,47.022999999999996,47.252,48.622,50.403000000000006,51.635999999999996,55.212999999999994,57.788000000000004,64.698000000000008,66.215,69.523,85.709,109.04200000000002,115.869,140.756]",37.037,0.961,6,20.654524686718307,59.951653927990861,5.0870144068092893,0.0014445902747441234
